IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
A,CyberAgent,7.7,3.9,6.7,Media & Entertainment,5.4
A,Chinese Estates Holdings Limited,3.9,5.9,6.5,Real Estate Development & Diversified Activities,5.4
A,Geely,4.4,4.1,6.3,Automobiles,5.0
AA,Mitsubishi Materials,5.3,5.4,6.6,Metals and Mining - Non-Precious Metals,5.7
BBB,Fujikura,5.6,5.2,5.7,Electrical Equipment,5.4
BBB,Johnson Electric,4.3,3.5,5.8,Auto Components,4.6
B,BEM,7.2,1.1,5.4,Transportation Infrastructure,3.9
A,Sanwa,6.6,6.1,4.7,Building Products,6.0
B,NHK Spring,4.2,3.4,4.0,Auto Components,3.8
AA,Asahi,6.5,6.3,6.2,Beverages,6.3
BB,SM,4.7,3.6,3.9,Industrial Conglomerates,3.9
BBB,Hakuhodo,10.0,6.1,3.6,Media & Entertainment,5.1
A,The Canara Bank,3.8,5.3,5.7,Banks,5.3
BBB,Bank of Baroda,0.0,4.4,4.5,Banks,3.9
B,Bank of India,0.0,3.8,4.3,Banks,3.6
A,Colgate-Palmolive (India),6.0,3.4,5.2,Household & Personal Products,4.8
BBB,Dongfeng Motor Group Company Limited (DFG),5.9,3.3,3.4,Automobiles,4.1
B,OCI International,8.7,5.8,1.8,Asset Management & Custody Banks,3.9
BB,Gemdale Properties,4.3,4.2,3.9,Real Estate Development & Diversified Activities,4.1
A,China Transmission,6.7,4.6,6.0,Electrical Equipment,5.7
BB,TTI,4.3,4.5,4.4,Industrial Machinery,4.4
BB,TravelSky Technology,9.0,3.8,3.6,Software & Services,3.9
BB,China TCM,3.3,3.9,3.8,Pharmaceuticals,3.8
BB,CCS,4.4,3.3,3.7,Construction & Engineering,3.6
BB,Lukfook,2.0,2.7,5.6,Retail - Consumer Discretionary,4.1
BB,Penta-Ocean Construction,4.8,3.8,4.5,Construction & Engineering,4.1
BB,Cummins India,3.9,4.7,5.4,Construction & Farm Machinery & Heavy Trucks,4.7
B,Xinyi Glass,4.2,3.5,5.0,Building Products,4.2
CCC,CNOOC,2.7,2.1,4.3,Oil & Gas Exploration & Production,2.9
BB,GAIL,6.8,0.9,6.6,Utilities,4.8
BBB,Bellevue Gold,0.4,8.2,5.6,Metals and Mining - Precious Metals,4.7
BBB,Grasim Industries,5.6,2.9,4.5,Construction Materials,4.4
BB,GMR Infrastructure,8.0,3.7,4.6,Transportation Infrastructure,4.9
BBB,Nissan Chemical,5.7,6.3,1.8,Diversified Chemicals,5.4
AA,Denka,5.1,5.5,4.3,Commodity Chemicals,5.2
A,Sumitomo Dainippon,5.5,5.8,4.6,Pharmaceuticals,5.1
CCC,Zhejiang Longsheng,2.9,3.7,1.5,Specialty Chemicals,3.0
BBB,We re-initiate coverage of Kingsoft at 'BBB'. Kingsoft,9.0,3.8,4.8,Media & Entertainment,4.6
A,BOC,4.4,4.5,5.3,Banks,4.9
A,Syrah Resources,3.3,7.1,4.2,Metals and Mining - Non-Precious Metals,4.8
AA,Sino-Ocean,7.8,5.9,6.7,Real Estate Development & Diversified Activities,6.7
AA,Hulic,5.4,5.9,8.3,Real Estate Management & Services,6.3
A,MTKHD,4.3,6.4,5.8,Health Care Providers & Services,5.8
A,Seino Holdings,6.4,5.1,3.8,Road & Rail Transport,5.0
AAA,Hankyu Hanshin,6.8,4.2,7.4,Road & Rail Transport,6.1
BB,Toho,4.7,3.4,5.0,Media & Entertainment,4.3
BB,PT Ciputra,4.2,4.8,4.3,Real Estate Development & Diversified Activities,4.5
AA,HDFC Bank,0.8,5.8,6.3,Banks,5.4
